id,estacion_salida,estacion_llegada,tipo_pmr,hora
279,JAR,ANG,PMR_AUDITIVO,09:00
280,MAT,VMA,PMR_AUDITIVO,09:00
281,PUE,SMA,PMR_AUDITIVO,12:00
282,VMA,GAM,PMR_SILLA,19:00
283,PUE,UNI,PMR_AUDITIVO,20:00
284,GAM,NAR,PMR_AUDITIVO,14:00
285,PUE,ANG,PMR_VISUAL,13:00
286,MAT,UNI,PMR_ADULTO_MAYOR,13:00
287,SMA,MAT,PMR_AUDITIVO,20:00
288,SMA,JAR,PMR_VISUAL,20:00
289,SMA,GAM,PMR_VISUAL,16:00
290,VMA,UNI,PMR_VISUAL,15:00
291,PUE,NAR,PMR_SILLA,17:00
292,JAR,UNI,PMR_VISUAL,10:00
293,UNI,PUE,PMR_ADULTO_MAYOR,18:00
294,SMA,MAT,PMR_VISUAL,09:00
295,CUL,ANG,PMR_ADULTO_MAYOR,13:00
296,PUE,CUL,PMR_SILLA,19:00
297,JAR,PUE,PMR_SILLA,14:00
298,GAM,CUL,PMR_ADULTO_MAYOR,14:00
299,ANG,NAR,PMR_SILLA,13:00
300,GAM,PUE,PMR_SILLA,19:00
301,UNI,GAM,PMR_SILLA,06:00
302,ANG,PUE,PMR_SILLA,06:00
303,NAR,VMA,PMR_ADULTO_MAYOR,11:00
304,SMA,UNI,PMR_VISUAL,07:00
305,NAR,MAT,PMR_VISUAL,07:00
306,VMA,JAR,PMR_VISUAL,12:00
307,UNI,JAR,PMR_AUDITIVO,13:00
308,GAM,MAT,PMR_VISUAL,14:00
309,MAT,UNI,PMR_AUDITIVO,08:00
310,GAM,PUE,PMR_VISUAL,10:00
311,UNI,ANG,PMR_AUDITIVO,10:00
312,MAT,PUE,PMR_AUDITIVO,14:00
313,NAR,JAR,PMR_VISUAL,16:00
314,GAM,CUL,PMR_SILLA,09:00
315,CUL,ANG,PMR_VISUAL,18:00
316,UNI,PUE,PMR_SILLA,12:00
317,PUE,UNI,PMR_ADULTO_MAYOR,20:00
318,ANG,UNI,PMR_ADULTO_MAYOR,20:00
319,NAR,UNI,PMR_AUDITIVO,20:00
320,UNI,VMA,PMR_VISUAL,07:00
321,CUL,UNI,PMR_VISUAL,17:00
322,ANG,NAR,PMR_VISUAL,19:00
323,MAT,GAM,PMR_ADULTO_MAYOR,09:00
324,PUE,JAR,PMR_ADULTO_MAYOR,17:00
325,VMA,NAR,PMR_VISUAL,18:00
326,CUL,NAR,PMR_ADULTO_MAYOR,11:00
327,GAM,JAR,PMR_SILLA,19:00
328,VMA,UNI,PMR_SILLA,17:00
329,SMA,VMA,PMR_VISUAL,14:00
330,CUL,ANG,PMR_AUDITIVO,07:00
331,UNI,PUE,PMR_ADULTO_MAYOR,07:00
332,CUL,SMA,PMR_ADULTO_MAYOR,20:00
333,GAM,SMA,PMR_SILLA,13:00
334,MAT,UNI,PMR_SILLA,19:00
335,UNI,JAR,PMR_SILLA,11:00
336,NAR,MAT,PMR_VISUAL,17:00
337,GAM,ANG,PMR_AUDITIVO,16:00
338,VMA,CUL,PMR_AUDITIVO,08:00
339,GAM,UNI,PMR_ADULTO_MAYOR,06:00
340,JAR,NAR,PMR_ADULTO_MAYOR,09:00
341,UNI,SMA,PMR_VISUAL,08:00
342,PUE,ANG,PMR_ADULTO_MAYOR,06:00
343,NAR,GAM,PMR_ADULTO_MAYOR,18:00
344,VMA,UNI,PMR_SILLA,06:00
345,PUE,ANG,PMR_VISUAL,08:00
346,CUL,PUE,PMR_AUDITIVO,19:00
347,ANG,UNI,PMR_VISUAL,19:00
348,SMA,PUE,PMR_ADULTO_MAYOR,19:00
349,MAT,ANG,PMR_VISUAL,20:00
350,SMA,JAR,PMR_ADULTO_MAYOR,06:00
351,VMA,ANG,PMR_VISUAL,15:00
352,NAR,ANG,PMR_AUDITIVO,15:00
353,NAR,SMA,PMR_VISUAL,07:00
354,VMA,MAT,PMR_AUDITIVO,15:00
355,ANG,SMA,PMR_ADULTO_MAYOR,08:00
356,UNI,NAR,PMR_SILLA,18:00
357,GAM,CUL,PMR_SILLA,16:00
358,PUE,JAR,PMR_SILLA,16:00
359,PUE,NAR,PMR_AUDITIVO,11:00
360,VMA,MAT,PMR_SILLA,11:00
361,VMA,SMA,PMR_VISUAL,12:00
362,UNI,ANG,PMR_ADULTO_MAYOR,10:00
363,GAM,UNI,PMR_ADULTO_MAYOR,09:00
364,CUL,VMA,PMR_SILLA,06:00
365,NAR,PUE,PMR_SILLA,18:00
366,NAR,VMA,PMR_SILLA,12:00
367,PUE,UNI,PMR_AUDITIVO,16:00
368,SMA,VMA,PMR_SILLA,06:00
369,UNI,CUL,PMR_SILLA,19:00
370,SMA,GAM,PMR_ADULTO_MAYOR,09:00
371,MAT,PUE,PMR_AUDITIVO,19:00
372,PUE,ANG,PMR_AUDITIVO,10:00
373,CUL,ANG,PMR_VISUAL,17:00
374,VMA,CUL,PMR_VISUAL,11:00
375,NAR,GAM,PMR_ADULTO_MAYOR,20:00
376,VMA,SMA,PMR_SILLA,08:00
377,NAR,MAT,PMR_ADULTO_MAYOR,10:00
378,UNI,MAT,PMR_ADULTO_MAYOR,17:00
379,GAM,VMA,PMR_ADULTO_MAYOR,18:00
380,JAR,NAR,PMR_VISUAL,19:00
381,VMA,GAM,PMR_ADULTO_MAYOR,19:00
382,JAR,SMA,PMR_AUDITIVO,16:00
383,PUE,SMA,PMR_SILLA,13:00
384,VMA,JAR,PMR_VISUAL,15:00
385,VMA,CUL,PMR_SILLA,13:00
386,JAR,MAT,PMR_ADULTO_MAYOR,07:00
387,CUL,VMA,PMR_AUDITIVO,11:00
388,GAM,JAR,PMR_SILLA,06:00
389,MAT,NAR,PMR_VISUAL,17:00
390,CUL,SMA,PMR_AUDITIVO,14:00
391,SMA,MAT,PMR_VISUAL,10:00
392,SMA,UNI,PMR_SILLA,09:00
393,MAT,GAM,PMR_AUDITIVO,17:00
394,MAT,PUE,PMR_SILLA,09:00
395,VMA,GAM,PMR_SILLA,16:00
396,NAR,VMA,PMR_VISUAL,13:00
397,NAR,SMA,PMR_AUDITIVO,09:00
398,UNI,VMA,PMR_ADULTO_MAYOR,14:00
399,JAR,GAM,PMR_SILLA,19:00
400,CUL,PUE,PMR_SILLA,10:00
401,CUL,PUE,PMR_ADULTO_MAYOR,11:00
402,SMA,UNI,PMR_ADULTO_MAYOR,12:00
403,CUL,JAR,PMR_AUDITIVO,06:00
404,MAT,ANG,PMR_ADULTO_MAYOR,15:00
405,UNI,GAM,PMR_VISUAL,08:00
406,SMA,JAR,PMR_VISUAL,10:00
407,GAM,ANG,PMR_VISUAL,16:00
408,UNI,ANG,PMR_SILLA,14:00
409,CUL,ANG,PMR_SILLA,07:00
410,ANG,NAR,PMR_AUDITIVO,17:00
411,PUE,UNI,PMR_AUDITIVO,12:00
412,GAM,MAT,PMR_ADULTO_MAYOR,12:00
413,NAR,JAR,PMR_AUDITIVO,15:00
414,SMA,GAM,PMR_VISUAL,12:00
415,VMA,UNI,PMR_AUDITIVO,09:00
416,ANG,CUL,PMR_ADULTO_MAYOR,17:00
417,CUL,UNI,PMR_SILLA,09:00
418,VMA,ANG,PMR_VISUAL,19:00
419,GAM,NAR,PMR_SILLA,16:00
420,PUE,GAM,PMR_AUDITIVO,13:00
421,SMA,GAM,PMR_ADULTO_MAYOR,11:00
422,ANG,CUL,PMR_ADULTO_MAYOR,15:00
423,VMA,JAR,PMR_VISUAL,18:00
424,MAT,SMA,PMR_AUDITIVO,19:00
425,CUL,ANG,PMR_AUDITIVO,10:00
426,ANG,GAM,PMR_ADULTO_MAYOR,16:00
427,MAT,UNI,PMR_SILLA,14:00
428,JAR,UNI,PMR_SILLA,06:00
429,MAT,GAM,PMR_VISUAL,14:00
430,CUL,VMA,PMR_SILLA,17:00
431,UNI,NAR,PMR_AUDITIVO,12:00
432,NAR,MAT,PMR_ADULTO_MAYOR,20:00
433,UNI,ANG,PMR_SILLA,09:00
434,ANG,NAR,PMR_SILLA,16:00
435,VMA,PUE,PMR_VISUAL,11:00
436,JAR,MAT,PMR_SILLA,18:00
437,NAR,JAR,PMR_AUDITIVO,19:00
438,SMA,ANG,PMR_SILLA,16:00
439,SMA,GAM,PMR_AUDITIVO,15:00
440,NAR,CUL,PMR_VISUAL,13:00
441,ANG,NAR,PMR_AUDITIVO,09:00
442,GAM,SMA,PMR_ADULTO_MAYOR,13:00
443,JAR,UNI,PMR_VISUAL,07:00
444,CUL,SMA,PMR_VISUAL,18:00
445,VMA,PUE,PMR_VISUAL,17:00
446,JAR,ANG,PMR_VISUAL,07:00
447,JAR,ANG,PMR_VISUAL,17:00
448,MAT,PUE,PMR_SILLA,15:00
449,PUE,UNI,PMR_ADULTO_MAYOR,18:00
450,MAT,PUE,PMR_ADULTO_MAYOR,16:00
451,MAT,UNI,PMR_AUDITIVO,14:00
452,JAR,ANG,PMR_AUDITIVO,14:00
453,GAM,PUE,PMR_ADULTO_MAYOR,18:00
454,ANG,CUL,PMR_VISUAL,15:00
455,GAM,PUE,PMR_AUDITIVO,16:00
456,MAT,JAR,PMR_ADULTO_MAYOR,10:00
457,VMA,JAR,PMR_ADULTO_MAYOR,06:00
458,UNI,CUL,PMR_SILLA,16:00
459,CUL,NAR,PMR_VISUAL,16:00
460,NAR,GAM,PMR_VISUAL,07:00
461,CUL,NAR,PMR_VISUAL,11:00
462,PUE,UNI,PMR_VISUAL,20:00
463,ANG,UNI,PMR_AUDITIVO,09:00
464,GAM,MAT,PMR_SILLA,20:00
465,GAM,JAR,PMR_SILLA,11:00
466,PUE,GAM,PMR_VISUAL,17:00
467,JAR,SMA,PMR_AUDITIVO,19:00
468,PUE,ANG,PMR_SILLA,20:00
469,ANG,CUL,PMR_VISUAL,12:00
470,SMA,JAR,PMR_VISUAL,06:00
471,MAT,ANG,PMR_AUDITIVO,12:00
472,SMA,ANG,PMR_ADULTO_MAYOR,12:00
473,CUL,VMA,PMR_VISUAL,20:00
474,JAR,PUE,PMR_ADULTO_MAYOR,13:00
475,SMA,PUE,PMR_VISUAL,15:00
476,JAR,VMA,PMR_ADULTO_MAYOR,09:00
477,CUL,UNI,PMR_VISUAL,14:00
478,PUE,NAR,PMR_VISUAL,07:00
479,ANG,GAM,PMR_ADULTO_MAYOR,13:00
480,VMA,SMA,PMR_SILLA,13:00
481,NAR,PUE,PMR_AUDITIVO,10:00
482,MAT,JAR,PMR_ADULTO_MAYOR,09:00
483,NAR,GAM,PMR_SILLA,16:00
484,SMA,VMA,PMR_VISUAL,20:00
485,SMA,ANG,PMR_SILLA,08:00
486,JAR,MAT,PMR_VISUAL,18:00
487,CUL,JAR,PMR_AUDITIVO,13:00
488,GAM,NAR,PMR_AUDITIVO,12:00
489,UNI,SMA,PMR_SILLA,10:00
490,PUE,VMA,PMR_SILLA,15:00
491,MAT,NAR,PMR_VISUAL,18:00
492,VMA,MAT,PMR_SILLA,18:00
493,ANG,PUE,PMR_VISUAL,14:00
494,MAT,PUE,PMR_SILLA,15:00
495,CUL,UNI,PMR_SILLA,14:00
496,GAM,UNI,PMR_SILLA,13:00
497,ANG,PUE,PMR_VISUAL,08:00
498,VMA,NAR,PMR_ADULTO_MAYOR,09:00
499,ANG,CUL,PMR_ADULTO_MAYOR,15:00
500,ANG,PUE,PMR_SILLA,13:00
501,NAR,PUE,PMR_ADULTO_MAYOR,18:00
502,VMA,GAM,PMR_AUDITIVO,19:00
503,JAR,UNI,PMR_AUDITIVO,06:00
504,MAT,NAR,PMR_SILLA,19:00
505,VMA,PUE,PMR_AUDITIVO,10:00
506,CUL,GAM,PMR_AUDITIVO,11:00
507,UNI,GAM,PMR_VISUAL,19:00
508,VMA,JAR,PMR_ADULTO_MAYOR,16:00
509,SMA,GAM,PMR_ADULTO_MAYOR,10:00
510,VMA,PUE,PMR_VISUAL,18:00
511,NAR,UNI,PMR_ADULTO_MAYOR,18:00
512,ANG,CUL,PMR_AUDITIVO,16:00
513,UNI,VMA,PMR_ADULTO_MAYOR,18:00
514,PUE,ANG,PMR_ADULTO_MAYOR,08:00
515,SMA,MAT,PMR_VISUAL,10:00
516,UNI,MAT,PMR_AUDITIVO,15:00
517,CUL,VMA,PMR_VISUAL,07:00
518,JAR,UNI,PMR_ADULTO_MAYOR,20:00
519,NAR,UNI,PMR_VISUAL,13:00
520,SMA,ANG,PMR_AUDITIVO,06:00
521,VMA,UNI,PMR_SILLA,14:00
522,SMA,NAR,PMR_SILLA,17:00
523,UNI,CUL,PMR_SILLA,17:00
524,NAR,MAT,PMR_AUDITIVO,12:00
525,JAR,PUE,PMR_AUDITIVO,19:00
526,PUE,JAR,PMR_SILLA,17:00
527,GAM,JAR,PMR_SILLA,19:00
528,PUE,GAM,PMR_AUDITIVO,12:00
529,ANG,VMA,PMR_AUDITIVO,16:00
530,CUL,SMA,PMR_SILLA,14:00
531,MAT,NAR,PMR_ADULTO_MAYOR,09:00
532,VMA,GAM,PMR_ADULTO_MAYOR,13:00
533,NAR,ANG,PMR_AUDITIVO,19:00
534,UNI,MAT,PMR_ADULTO_MAYOR,17:00
535,SMA,PUE,PMR_SILLA,19:00
536,VMA,CUL,PMR_AUDITIVO,16:00
537,UNI,ANG,PMR_SILLA,07:00
538,CUL,UNI,PMR_VISUAL,08:00
539,NAR,PUE,PMR_SILLA,13:00
540,GAM,ANG,PMR_VISUAL,06:00
541,MAT,NAR,PMR_VISUAL,18:00
542,ANG,GAM,PMR_AUDITIVO,15:00
543,NAR,SMA,PMR_SILLA,17:00
544,UNI,NAR,PMR_SILLA,08:00
545,VMA,JAR,PMR_VISUAL,19:00
546,GAM,JAR,PMR_AUDITIVO,14:00
